HOST_ID,TYPE,CITY,REVIEWS,RATING,GUESTS,ROOMS,PRICE,NUM_LIST,MULT_LIST,LAT,LONG,NAME
29517222,Entire home/apt,Lexington,3,5,14,7,1500,5,Yes,38.056191,-84.492026,Lyndon House Bed & Breakfast
29517222,Private room,Lexington,0,0,2,1,169,5,Yes,38.056316,-84.491964,Lyndon House B&B - Shaker Suite
29784006,Private room,Lexington,4,5,2,1,45,1,No,38.040805,-84.44214,Private Room 10 min from Downtown
30129596,Private room,Lexington,16,5,2,1,68,1,No,38.120019,-84.450643,Minutes from Kentucky Horse Park
30157895,Entire home/apt,Lexington,5,5,2,1,265,1,No,38.101996,-84.425261,Charming Cottage on a TB Horse Farm
31349440,Entire home/apt,Lexington,22,4.5,4,2,56,1,No,38.047782,-84.497843,Downtown Lexington
31485977,Private room,Lexington,0,0,1,1,40,1,No,38.02657,-84.533893,Townhouse Room in the Heart of Lex!
31803283,Private room,Wilmore,5,5,2,2,89,1,No,37.86652,-84.657647,1898 Red Bud Bed & Breakfast
32081355,Entire home/apt,Lexington,1,0,6,3,1000,1,No,38.039862,-84.563423,"Cozy, Peaceful Home Rental"
32124731,Entire home/apt,Lexington,1,0,6,3,895,1,No,38.028382,-84.48639,Historic home in Chevy Chase!
32166317,Entire home/apt,Lexington,13,5,2,1,75,3,Yes,38.037687,-84.49568,"Spacious, private 1Bd between UK campus & Downtown"
32166317,Entire home/apt,Lexington,17,5,5,2,75,3,Yes,38.037702,-84.495149,Charming 2 Bedroom Apartment
32166317,Entire home/apt,Lexington,91,5,5,2,75,3,Yes,38.037776,-84.495232,Newly remodeled 2 bedroom apartment
32915010,Entire home/apt,Lexington,0,0,6,3,225,1,No,37.971228,-84.545067,Beautiful 3 Bedroom Home
33067822,Private room,Lexington,4,5,2,1,125,2,Yes,38.037507,-84.366539,Contemporary Rural Retreat
33067822,Private room,Lexington,1,0,2,1,60,2,Yes,38.03792,-84.366916,Quaint & Quiet with Pleasant View
33565474,Entire home/apt,Lexington,0,0,6,3,1000,1,No,38.036308,-84.49011,3BR Townhome for Breeders Cup
34069399,Private room,Lexington,0,0,2,1,400,1,No,38.043159,-84.500229,Historic meets modern downtown
34191256,Private room,Lexington,3,5,2,1,45,1,No,38.037229,-84.521304,Cute private room and bathroom!
34221329,Private room,Lexington,1,0,2,1,80,1,No,38.039788,-84.511503,Efficient housing near UK Campus
34434015,Entire home/apt,Lexington,3,4.5,8,4,135,1,No,37.999017,-84.470876,Sawyer Chateau
34567786,Private room,Lexington,0,0,1,1,25,1,No,38.006779,-84.488665,Blue Hall Bed Room/Townhouse on Alumni
34776451,Entire home/apt,Lexington,0,0,4,2,950,1,No,38.008083,-84.557886,3.5 Miles to Keeneland and Airport
34999613,Private room,Lexington,42,5,2,1,80,3,Yes,38.034234,-84.479381,Historic neighborhood-Master suite
34999613,Entire home/apt,Lexington,1,0,6,3,800,3,Yes,38.035301,-84.479247,Historic home near downtown
34999613,Private room,Lexington,35,5,2,1,70,3,Yes,38.035512,-84.479833,Historic Home-private room and bath
35218286,Private room,Lexington,0,0,4,1,65,2,Yes,38.051716,-84.505069,Penthouse Suite next to Rupp Arena!
35218286,Private room,Lexington,114,5,3,1,37,2,Yes,38.053173,-84.503238,Sweet Suite Rupp Arena!!
35431782,Private room,Lexington,3,4.5,1,1,42,2,Yes,37.992354,-84.48731,Private Room close to UK
35431782,Private room,Lexington,10,5,1,1,42,2,Yes,37.994075,-84.487217,Quiet home close to University of Kentucky
35439197,Private room,Lexington,0,0,2,1,25,1,No,38.021324,-84.467327,Guest Room Near UK/Downtown Lexington
